ID,Name,Age,Gender,City,Education,Employment Status,Salary,Health Condition,Credit Score
1,GARCIA JUAN,78,M,Albuquerque,Bachelor,Employed,"$80,000 ",Good,720
2,MONTOYA CAMERON,17,F,Albuque,Associate,Unemployed,$0 ,Excellent,N/A
3,SATTERFIELD VIVIANA,15,M,Albuque,PhD,Self-employed,"$120,000 ",Poor,550
4,MENDIOLA CARLOS,32,F,Albuque,High School,Employed,"$45,000 ",Excellent,800
5,MULA VIVIAN,72,M,Albuque,Master's,Retired,"$50,000 ",Average,680
6,BOOK GERALDINE,91,F,Albuque,,Student,$0 ,Good,N/A
7,MALDONADO DAVID,52,M,Albuquerque,,Unemployed,Missing,Poor,400
8,MALDONADO CONNIE,52,F,Albuquerque,Associate,Employed,"$65,000 ",,750
9,MARTIN-LEYVA GUSTAVO,56,M,ALBUQUERQUE,High School,Self-employed,"$30,000 ",Excellent,600
10,HERRERA ISRAEL,43,F,ALBUQUERQUE,PhD,Employed,"$100,000 ",Average,790
11,BARRIUS-CAMPANIONI HECTOR,20,F,ALBUQUERQUE,PhD,Retired,$0 ,Average,537
12,LUJAN KEVIN,Unknown,M,ALBUQUERQUE,Bachelor's,Unemployed,$0 ,Excellent,None
13,COLLAMORE JOHN,46,M,ALBUQUERQUE,High School,Unemployed,$0 ,Good,457
14,CHIQUITO CORIN,16,M,ALBUQUERQUE,PhD,Unemployed,$0 ,,N/A
15,TORRES HECTOR,54,F,ALBUQUERQUE,Bachelor's,Retired,$0 ,,None
16,GRAY STEFANIA,43,M,ALBUQUERQUE,,Student,$0 ,,N/A
17,LEYVA JOEL,52,F,ALBUQUERQUE,Master's,Self-employed,"$135,068 ",Average,794
18,DAVID LARRY,52,M,ALBUQUERQUE,PhD,Employed,"($50,975)",Good,None
19,BRITO ELIZABETH,22,M,ALBUQUERQUE,Master's,Unemployed,$0 ,Good,814
20,CHAVEZ GREG SR.,49,M,Albuquerque,PhD,Self-employed,"($102,073)",Poor,780
21,KING TEVION,15,F,Albuquerque,High School,Freelance,"$25,000 (Hourly)",Excellent,720
22,BOYKIN CEDRIC,25,M,Albuquerque,,Student (Part-time),"$15,000 (Summer Job)",Good,None
23,BARRAGAN MIGUEL,20,F,Albuquerque,Master's,Retired (Early),"$35,000 (Pension)",Average,650
24,FORD LUTHER,47,M,Albuquerque,Bachelor's,Self-employed,"$150,000 (Seasonal)",Poor,500
25,WRONSKI VIOLA,88,F,Albuquerque,Associate,Unemployed,$0 ,,N/A
26,ASHFORD GUADALUPE,27,M,Albuquerque,PhD,Employed,"$110,000 (Commission)",Good,830
27,TURNER MICHELLE,36,F,Albuquerque,Master's,Retired,"$48,000 (Social Security)",Excellent,750
28,CUNNINGHAM SHARON,47,M,Albuquerque,High School,Employed (Gig Work),"$30,000 (Unstable)",Poor,420
29,NGUYEN SELENAVI,1,F,Albuquerque,Bachelor's,Student (Full-time),$0 ,Excellent,None
30,VALDEZ BILL,58,M,Albuquerque,PhD,Self-employed,$0 (Business Closed),Poor,480
31,GOMEZ-HERNANDEZ ANGEL,42,,Albuquerque,,Unemployed,$0 ,Excellent,N/A
32,MARTINEZ LAWRENCE,50,,Albuquerque,High School,Employed,"$40,000 ",Good,720
33,CORIZ EMMA,3,,Albuquerque,Bachelor's,Student,$0 ,Excellent,None
34,MONTOYA-SANTANA JULIAN,1,,Albuquerque,,Self-employed,"$60,000 (Unstable)",Poor,580
35,SANTANA-HERNANDEZ YURIKO,21,,Albuquerque,Master's,Unemployed,$0 ,Average,650
36,VIGIL DAWN,19,,Albuquerque,PhD,Retired,"$75,000 (Pension)",Excellent,810
37,BEGAY ALBERT,46,,Albuquerque,Associate,Employed,"$50,000 ",Good,780
38,PHILLIPS MADELYN,95,,Albuquerque,High School,Unemployed,$0 ,Poor,N/A
39,CHECKLEY MICHAEL,24,,Albuquerque,Bachelor's,Employed (Part-time),"$20,000 (Hourly)",Excellent,700
40,FREEMAN JAMES,41,,Albuquerque,Master's,Self-employed,"$100,000 (Seasonal)",Average,690
41,STOWE KIMBREL,50,,Albuquerque,,Student (Full-time),$0 ,Good,None
42,BARKER PAUL,51,,Albuquerque,PhD,Employed,"$120,000 ",Excellent,830
43,MALDONADO CHRISTIAN,18,,Albuquerque,Associate,Unemployed,$0 ,Poor,550
44,TSOSIE DERRON,36,,Albuquerque,High School,Gig Worker,"$35,000 (Unstable)",Average,620
45,JOHNSON DAWYNE,18,,Albuquerque,Bachelor's,Employed (Contract),"$80,000 ",Good,750
46,SAM WANBLIHOKSILA,27,,Albuquerque,Master's,Retired,"$55,000 (Social Security)",Excellent,790
47,NELSON JONAH,8,,Albuquerque,PhD,Unemployed,$0 ,Poor,N/A
48,HERNANDEZ REINALDO,43,,Albuquerque,Associate,Employed,"$45,000 ",Average,680
49,KENT BRANDI,22,,Albuquerque,High School,Student (Part-time),"$15,000 (Summer Job)",Good,None
50,MONTOYA ADAM,36,,Albuquerque,Bachelor's,Self-employed,"$110,000 ",Excellent,820
51,MARINER KAREN,64,,Albuquerque,,Unemployed,$0 ,Poor,480
52,DOMINGUEZ-ACOSTA EVER IVAN,30,,Albuquerque,PhD,Employed,"$130,000 (Commission)",Average,710
53,ALVAREZ VALENTIN,2,,Albuquerque,Associate,Unemployed,$0 ,Good,N/A
54,HOBBS DAVID,52,,Albuquerque,High School,Gig Worker,"$28,000 (Unstable)",Poor,520
55,SCHWABE JOHN RAY,39,,Albuquerque,Bachelor's,Employed (Contract),"$90,000 ",Excellent,770
56,SANDERS LISA,50,,Albuquerque,Master's,Retired,"$60,000 (Social Security)",Average,740
57,TADACHEENIE ANTHONY,49,,Albuquerque,PhD,Unemployed,$0 ,Poor,N/A
58,MOORE JAMES,45,,Albuquerque,Associate,Employed,"$50,000 ",Good,690
59,CUNNINGHAM ROGER,42,,Albuquerque,High School,Student (Full-time),$0 ,Excellent,None
60,ORTIZ-BURCIAGA VICTORIA,Unknown,,Albuquerque,Bachelor's,Self-employed,"$120,000 ",Excellent,840
61,ARCHIBEQUE DANIEL,49,,Albuquerque,,Unemployed,$0 ,Average,450
62,TRUJILLO PATRICK,19,,Albuquerque,PhD,Employed,"$140,000 (Commission)",Good,730
63,SHARPE JAMES,49,,Albuquerque,Associate,Unemployed,$0 ,Poor,N/A
64,BOOKER QUINCY JC,36,,Albuquerque,High School,Gig Worker,"$32,000 (Unstable)",Average,600
65,DEFRAIA MATTHEW,49,,Albuquerque,Bachelor's,Employed (Contract),"$100,000 ",Excellent,790
66,CORNICK WILLIAM,43,,Albuquerque,Master's,Retired,"$65,000 (Social Security)",Good,760
67,DAVIS ANDRAE J,31,,Albuquerque,Master's,Student (Full-time),$0 ,Excellent,None
68,GREEN BRYAN,0,,Albuquerque,PhD,Employed,"$90,000 ",Good,800
69,RICHARDS KEVIN,0,,Albuquerque,Associate,Unemployed,$0 ,Poor,N/A
70,THREADGILL JOSEPH,23,,Albuquerque,High School,Employed (Part-time),"$25,000 (Hourly)",Excellent,740
71,JARAMILLO ADELINA,30,,Albuquerque,Bachelor's,Self-employed,"$70,000 (Seasonal)",Average,670
72,FELIX JUSTIN,32,,Albuquerque,,Retired,"$40,000 (Pension)",Good,710
73,SAAVEDRA GERALDO,51,,Albuquerque,Associate,Gig Worker,"$42,000 (Unstable)",Average,640
74,OCHOA ISMAEL III,16,,Albuquerque,High School,Employed,"$55,000 ",Excellent,780
75,MARTINEZ ATHENA,28,,Albuquerque,Bachelor's,Student (Part-time),"$18,000 (Summer Job)",Good,None
76,GUTIERREZ GINA,35,,Albuquerque,Master's,Self-employed,"$140,000 ",Excellent,850
77,GONZALEZ JORGE,26,,Albuquerque,,Unemployed,$0 ,Poor,420
78,FROST LINDSEY,18,,Albuquerque,PhD,Employed,"$100,000 ",Average,750
79,KINNEY CHRISTOPHER,23,,Albuquerque,Associate,Unemployed,$0 ,Good,N/A
80,THOMAS MARVIN,40,,Albuquerque,High School,Gig Worker,"$30,000 (Unstable)",Poor,580
81,SULLIVAN BRENDA,52,,Albuquerque,Bachelor's,Employed (Contract),"$85,000 ",Excellent,720
82,GONZALEZ HECTOR,19,,Albuquerque,Master's,Retired,"$50,000 (Social Security)",Average,700
83,HERRERA DANNY,19,,Albuquerque,PhD,Unemployed,$0 ,Poor,N/A
84,GARCIA TOBY,42,,Albuquerque,Associate,Employed,"$40,000 ",Good,650
85,DE LA PAZ JOSE,17,,Albuquerque,High School,Student (Full-time),$0 ,Excellent,None
86,CHAVEZ FRED,45,,Albuquerque,Bachelor's,Self-employed (Business Closed),$0 ,Poor,450
87,SERRA RAFEAL,21,,Albuquerque,,Unemployed,$0 ,Average,400
88,GRIEGO GERALD,42,,Albuquerque,PhD,Employed,"$110,000 (Commission)",Good,770
89,MILLER GREGORY,42,,Albuquerque,Associate,Unemployed,$0 ,Poor,N/A
90,PARHAM GERALDINE,94,,Albuquerque,High School,Gig Worker,"$38,000 (Unstable)",Average,610
91,CHAVEZ GILBERT,33,,Albuquerque,Bachelor's,Employed (Contract),"$95,000 ",Excellent,790
92,GILBERT CHAVEZ,33,,Albuquerque,Master's,Retired,"$55,000 (Social Security)",Good,730
93,BARBIER RENEE,57,,Albuquerque,PhD,Unemployed,$0 ,Excellent (?!),N/A
94,SMITH ROBERT,55,,Albuquerque,Associate,Unemployed,$0 ,Poor,N/A
95,MONTOYA-LEON ROMANA,29,,Albuquerque,Master's,Self-employed,"$120,000 ",Good,810
96,GARCIA ARTHUR,53,,Albuquerque,,Employed (Part-time),"$15,000 (Hourly)",Excellent,690
97,GUTIERREZ SAMUEL,17,,Albuquerque,PhD,Gig Worker,"$50,000 (Unstable)",Average,700
98,TRUJILLO JEREMY,16,,Albuquerque,Associate,Self-employed,"$80,000 (Seasonal)",Poor,590
99,NERI JOSE,23,,Albuquerque,Master's,Student (Full-time),$0 ,Excellent,None
100,CHEE KENNARD,42,,Albuquerque,PhD,Employed,"$90,000 ",Good,800
101,VALERIO MAY,25,,Albuquerque,Associate,Unemployed,$0 ,Poor,N/A
102,TRUJILLO NAOMI,26,,Albuquerque,High School,Employed (Part-time),"$25,000 (Hourly)",Excellent,740
103,VALERIO MAY,Unknown,,Albuquerque,Bachelor's,Self-employed,"$70,000 (Seasonal)",Average,670
104,ROBSON SHIRLEY,66,,Albuquerque,,Retired,"$40,000 (Pension)",Good,710
105,ITHURRIA ISAIAH,5,,Albuquerque,Associate,Gig Worker,"$42,000 (Unstable)",Average,640
106,RICE WALTER,74,,Albuquerque,High School,Employed,"$55,000 ",Excellent,780
107,PRESLEY JOHN JR,20,,Albuquerque,Bachelor's,Student (Part-time),"$18,000 (Summer Job)",Good,None
108,TSETHLIKAI IAN,20,,Albuquerque,Master's,Self-employed,"$140,000 ",Excellent,850
109,FRASER IAN,69,,Albuquerque,,Unemployed,$0 ,Poor,420
110,HERRERA MARC,37,,Albuquerque,PhD,Employed,"$100,000 ",Average,750
